0.231167 buffer_diff L5 -64
0.231167 buffer_diff L5 64
0.231167 buffer_diff L3 -64
0.231167 buffer_diff L3 64
0.231167 buffer_diff L4 -64
0.231167 buffer_diff L4 64
0.231167 buffer_diff L0 -64
0.231167 buffer_diff L0 64
0.231167 buffer_diff L1 -64
0.231167 buffer_diff L1 64
0.231167 buffer_diff L2 -64
0.231167 buffer_diff L2 64
0.231167 buffer_diff L5 64
0.231167 buffer_diff L0 64
0.231208 transmission L5 64
0.231208 transmission L0 64
0.231208 buffer_diff L5 -64
0.231208 buffer_diff L0 -64
0.231219 transmission L3 64
0.231219 transmission L4 64
0.231219 transmission L1 64
0.231219 transmission L2 64
0.231249 transmission L5 64
0.231249 transmission L0 64
0.241219 buffer_diff L1 -64
0.241219 buffer_diff L1 64
0.241219 buffer_diff L2 -64
0.241219 buffer_diff L2 64
0.241219 buffer_diff L3 -64
0.241219 buffer_diff L3 64
0.241219 buffer_diff L4 -64
0.241219 buffer_diff L4 64
0.241270 transmission L1 64
0.241270 transmission L2 64
0.241270 transmission L3 64
0.241270 transmission L4 64
0.251270 buffer_diff L2 -64
0.251270 buffer_diff L2 64
0.251270 buffer_diff L0 -64
0.251270 buffer_diff L0 64
0.251270 buffer_diff L1 -64
0.251270 buffer_diff L1 64
0.251270 buffer_diff L4 -64
0.251270 buffer_diff L4 64
0.251270 buffer_diff L5 -64
0.251270 buffer_diff L5 64
0.251270 buffer_diff L3 -64
0.251270 buffer_diff L3 64
0.251270 buffer_diff L0 64
0.251270 buffer_diff L5 64
0.251311 transmission L0 64
0.251311 transmission L5 64
0.251311 buffer_diff L0 -64
0.251311 buffer_diff L5 -64
0.251321 transmission L2 64
0.251321 transmission L1 64
0.251321 transmission L4 64
0.251321 transmission L3 64
0.251352 transmission L0 64
0.251352 transmission L5 64
0.261321 buffer_diff L4 -64
0.261321 buffer_diff L4 64
0.261321 buffer_diff L3 -64
0.261321 buffer_diff L3 64
0.261321 buffer_diff L2 -64
0.261321 buffer_diff L2 64
0.261321 buffer_diff L1 -64
0.261321 buffer_diff L1 64
0.261372 transmission L4 64
0.261372 transmission L3 64
0.261372 transmission L2 64
0.261372 transmission L1 64
0.271372 buffer_diff L5 -64
